RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,Taken
1,1,Justin Jefferson,MIN,WR1,13,3 out of 5 stars,0
2,1,Ja'Marr Chase,CIN,WR2,7,4 out of 5 stars,0
3,1,Christian McCaffrey,SF,RB1,9,4 out of 5 stars,0
4,1,Tyreek Hill,MIA,WR3,10,3 out of 5 stars,0
5,1,Cooper Kupp,LAR,WR4,10,3 out of 5 stars,0
6,2,Travis Kelce,KC,TE1,10,4 out of 5 stars,0
7,2,Austin Ekeler,LAC,RB2,5,3 out of 5 stars,0
8,2,Stefon Diggs,BUF,WR5,13,2 out of 5 stars,0
9,2,CeeDee Lamb,DAL,WR6,7,2 out of 5 stars,0
10,2,Amon-Ra St. Brown,DET,WR7,9,3 out of 5 stars,0
11,2,Saquon Barkley,NYG,RB3,13,2 out of 5 stars,0
12,2,A.J. Brown,PHI,WR8,10,3 out of 5 stars,0
13,2,Davante Adams,LV,WR9,13,2 out of 5 stars,0
14,3,Bijan Robinson,ATL,RB4,11,4 out of 5 stars,0
15,3,Garrett Wilson,NYJ,WR10,7,3 out of 5 stars,0
16,3,Tony Pollard,DAL,RB5,7,3 out of 5 stars,0
17,3,Nick Chubb,CLE,RB6,5,3 out of 5 stars,0
18,3,Jaylen Waddle,MIA,WR11,10,3 out of 5 stars,0
19,3,Chris Olave,NO,WR12,11,4 out of 5 stars,0
20,3,Derrick Henry,TEN,RB7,7,4 out of 5 stars,0
21,4,DeVonta Smith,PHI,WR13,10,3 out of 5 stars,0
22,4,Jonathan Taylor,IND,RB8,11,3 out of 5 stars,0
23,4,Josh Jacobs,LV,RB9,13,3 out of 5 stars,0
24,4,Keenan Allen,LAC,WR14,5,3 out of 5 stars,0
25,4,Patrick Mahomes II,KC,QB1,10,3 out of 5 stars,0
26,4,Josh Allen,BUF,QB2,13,3 out of 5 stars,0
27,4,Tee Higgins,CIN,WR15,7,4 out of 5 stars,0
28,4,Jalen Hurts,PHI,QB3,10,3 out of 5 stars,0
29,4,DK Metcalf,SEA,WR16,5,3 out of 5 stars,0
30,4,Mark Andrews,BAL,TE2,13,4 out of 5 stars,0
31,4,Rhamondre Stevenson,NE,RB10,11,2 out of 5 stars,0
32,4,Joe Mixon,CIN,RB11,7,3 out of 5 stars,0
33,4,Najee Harris,PIT,RB12,6,3 out of 5 stars,0
34,4,Amari Cooper,CLE,WR17,5,3 out of 5 stars,0
35,5,Calvin Ridley,JAC,WR18,9,4 out of 5 stars,0
36,5,Travis Etienne Jr.,JAC,RB13,9,2 out of 5 stars,0
37,5,Jahmyr Gibbs,DET,RB14,9,5 out of 5 stars,0
38,5,Lamar Jackson,BAL,QB4,13,3 out of 5 stars,0
39,5,Aaron Jones,GB,RB15,6,4 out of 5 stars,0
40,5,Deebo Samuel,SF,WR19,9,3 out of 5 stars,0
41,5,DeAndre Hopkins,TEN,WR20,7,3 out of 5 stars,0
42,5,Chris Godwin,TB,WR21,5,4 out of 5 stars,0
43,5,Jerry Jeudy,DEN,WR22,9,2 out of 5 stars,0
44,5,Terry McLaurin,WAS,WR23,14,3 out of 5 stars,0
45,5,DJ Moore,CHI,WR24,13,3 out of 5 stars,0
46,5,Drake London,ATL,WR25,11,4 out of 5 stars,0
47,5,Joe Burrow,CIN,QB5,7,3 out of 5 stars,0
48,5,Christian Watson,GB,WR26,6,3 out of 5 stars,0
